Year,Date,GRA Purchases,PRGT 1/2/,Totals
2022,11/30/2022,93127879760.00,15407692089.00,1.08536E+11
2021,12/31/2021,89474552025.00,14554823681.00,1.04029E+11
2020,12/31/2020,93408630285.00,12481816684.00,1.0589E+11
2019,12/31/2019,66945509865.00,6590835450.00,73536345315
2018,12/31/2018,55395611392.00,6426181029.00,61821792421
2017,12/31/2017,39585385873.00,6522280669.00,46107666542
2016,12/31/2016,49267630851.00,6482647937.00,55750278788
2015,12/31/2015,50757840741.00,6575911158.00,57333751899
2014,12/31/2014,69041563463.00,6292755583.00,75334319046
2013,12/31/2013,83899249061.00,6174392682.00,90073641743
2012,12/31/2012,90042348252.00,5766292503.00,95808640755
2011,12/31/2011,87276915790.00,5308609594.00,92585525384
2010,12/31/2010,55620104510.00,4819344134.00,60439448644
2009,12/31/2009,37221142436.00,5079705286.00,42300847722
2008,12/31/2008,17514964723.00,3972372030.00,21487336753
2007,12/31/2007,6036146757.00,3796945581.00,9833092338
2006,12/31/2006,9822640239.00,3844020520.00,13666660759
2005,12/31/2005,28432143237.00,6282121668.00,34714264905
2004,12/31/2004,55373766674.00,6766029353.00,62139796027
2003,12/31/2003,65032062712.00,6880893268.00,71912955980
2002,12/31/2002,63601058794.00,6868671012.00,70469729806
2001,12/31/2001,53477225409.00,6424578684.00,59901804093
2000,12/31/2000,42990531049.00,6331595468.00,49322126517
1999,12/31/1999,51061861875.00,6434274362.00,57496136237
1998,12/31/1998,60451017051.00,6288825925.00,66739842976
1997,12/31/1997,46559033783.00,6009867422.00,52568901205
1996,12/31/1996,36127472805.00,5881609752.00,42009082557
1995,12/31/1995,35929173412.00,5657438528.00,41586611940
1994,12/31/1994,25611676952.00,4599768498.00,30211445450
1993,12/31/1993,25196745031.00,3942792899.00,29139537930
1992,12/31/1992,23967172718.00,3804463796.00,27771636514
1991,12/31/1991,23378573926.00,3285717796.00,26664291722
1990,12/31/1990,20731851093.00,2571911617.00,23303762710
1989,12/31/1989,22315104224.00,2334886562.00,24649990786
1988,12/31/1988,24750004884.00,1773964293.00,26523969177
1987,12/31/1987,28751979125.00,1866342930.00,30618322055
1986,12/31/1986,33334905644.00,2013169931.00,35348075575
1985,12/31/1985,35194787249.00,2470247948.00,37665035197
1984,12/31/1984,34936772393.00,2769874900.00,37706647293
